State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"15,864","24,171","20,804","16,262","3,534","17,696","4,249","13,447","10,261","3,186","3,673","6,588",521,"1,513","1,606","1,525","1,117","2,141","4,425","4,848",$739 ,$187 ,"14,686","3,938",222,"1,536","1,330",850,"14,545",$671 ,$89 ,"2,651","1,148","3,252","3,029","2,914","4,492",210,"8,346","9,350",786,"1,409",57,167,"11,410",250,673,"2,944",773,"14,634","2,289","8,870","8,826",+,"8,761","3,438","5,497",+,"1,889","1,853","3,828","3,534","2,678","3,130",784,"2,805",168,145,691,594,512,664,31,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"145,941","205,422","191,122","155,576","14,406","160,429","37,118","123,311","86,528","36,783","14,630","71,898","4,927","14,775","13,413","11,979","8,505","19,467","35,657","51,706",$691 ,$130 ,"144,358","110,618","14,198","31,725","64,154",541,"144,062",$625 ,$79 ,"4,221","17,773","29,179","29,790","33,662","44,989",815,"66,222","94,207",784,"9,340",56,"27,875","95,546","1,679","2,786","22,363","4,311","139,408","16,710","45,454","114,975","1,783","20,454","131,194","6,998",+,"3,545","69,505","36,777","20,821","11,159","12,598","6,024","49,160",316,"5,571","10,687","10,062","10,259","11,961",304,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"65,725","98,275","78,283","62,685","21,182","64,360","14,484","49,876","29,141","20,735","12,662","16,479","1,293","4,559","4,239","4,248","2,874","6,884","14,124","26,139",$522 ,$197 ,"54,952","36,131","8,441","16,164","10,910",616,"54,638",$383 ,$147 ,"5,890","5,433","9,314","9,998","12,094","21,098",533,"28,131","36,229",458,"2,799",178,"4,032","43,045",643,"1,077","12,128","2,635","53,465","8,260","24,769","39,591",+,"15,886","46,554","1,920",+,"4,262","12,123","19,358","12,751","7,135","6,804","1,927","8,927","1,234",702,"1,614","1,569","1,481","2,190",137,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"128,764","206,731","185,613","137,217","23,720","153,020","34,391","118,629","77,049","41,580","29,974","47,075","3,010","10,688","10,357","10,955","7,375","17,954","35,782","56,899",$589 ,$220 ,"120,152","66,554","18,806","28,183","18,695",870,"119,655",$472 ,$130 ,"23,532","12,075","18,599","20,205","27,015","50,063","1,531","69,687","83,333",728,"11,654",144,"2,929","91,534","4,313","4,051","37,667","26,166","106,856","19,998","15,798","137,222",809,"57,301","90,246","4,664",+,"21,856","20,284","35,626","33,058","17,918","19,141","5,137","21,563","2,929","1,558","3,912","3,710","3,608","5,612",234,+,+,+,+,+,+,+,+,+,+,+
CA,SBE,"3,756,058","7,765,421","2,294,351","1,735,727",NR,"1,538,819","418,052","1,120,767","466,154","654,613",NR,NR,"180,675","280,606","652,593","97,094","38,490","20,136","94,838","174,387",$569 ,$185 ,"1,309,381","648,202",NR,NR,NR,NR,"1,308,064",$445 ,$134 ,"110,268","150,542","264,143","234,424","319,562","447,742","12,138","734,220","804,599","3,558","297,443","1,564","29,993","427,135",NR,"29,136","406,395","343,595",NR,"406,395",NR,NR,"21,268","462,501","854,505","147,422","53,123",NR,"235,007","422,251","264,141","206,898","220,134","190,388","255,909","10,804","24,308","59,805","45,058","49,435","63,552","2,947",+,+,+,+,+,+,+,+,+,+,+
CO,SBE,"136,063","259,077","238,733","127,417",NR,"166,852","34,383","132,469","78,826","53,643",NR,NR,"4,061","10,318","10,096","10,282","7,130","15,309","30,551","79,105",$478 ,$205 ,"123,222","49,593",NR,NR,NR,NR,"122,438",$368 ,$135 ,"16,878","12,057","29,017","26,824","28,016","46,319","7,741","79,446","87,406",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"2,758","86,945","66,963","10,186",+,NR,"12,618","28,286","22,052","19,038","25,081","59,777","34,623","3,414","1,980","8,511","6,570","5,327","7,099","1,722",+,+,+,+,+,+,+,+,+,+,+
CT,SBE,"248,878","446,097","128,536","88,423","270,123","107,833","25,280","82,553","25,064","57,489",NR,NR,"2,103","7,670","7,403","26,342","46,057","3,153","8,476","6,629",$684 ,$244 ,"74,496","46,677",NR,NR,NR,NR,"74,413",$638 ,$97 ,"8,005","9,682","15,386","14,252","22,023","36,627","1,858","49,524","58,309",70,"5,045",49,"4,367","51,790",NR,"1,498","33,720","11,294",NR,"33,720",NR,NR,"1,839","49,326","49,889","6,779",+,NR,"8,127","18,439","15,895","10,962","17,240","37,170","3,564",243,323,799,577,679,852,91,+,+,+,+,+,+,+,+,+,+,+
DC,SBE,"26,396","29,595","19,872","2,286","8,671","17,538","4,214","13,324","1,524","11,800",NR,NR,"15,390",85,-72,116,113,211,591,"1,104",$534 ,$505 ,"1,061",356,NR,NR,NR,NR,"1,051",$422 ,$219 ,"1,888","1,001","5,398","3,845","2,711","2,515",180,"8,351","9,187",*,520,*,"1,359","5,471",NR,407,"9,729",45,NR,"9,729",NR,NR,928,"5,097","4,507","3,894","3,112",NR,40,66,301,262,207,"16,662","4,137",293,181,"1,326","1,088",620,468,161,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"20,602","31,372","28,052","21,764","3,700","23,961","6,056","17,905","12,234","5,671","5,259","6,975",560,"1,743","1,790","1,849","1,388","2,866","5,955","7,810",$668 ,$192 ,"19,930","6,831",796,"3,364","2,650",21,"19,914",$572 ,$110 ,"3,065","1,792","3,491","3,578","4,342","7,377",316,"10,744","13,217",*,"2,112",*,"2,268","13,703",377,548,"4,895","1,462","19,737","2,762","5,789","18,172",131,"7,578","7,902","7,662",688,"2,382","2,978","5,254","4,811","3,461","4,161",914,"4,210",255,367,871,725,804,"1,126",62,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"1,524,594","2,225,325","2,154,456","1,924,546","70,559","1,913,975","525,509","1,388,466","1,045,638","342,828","530,173","515,465","45,419","211,588","206,059","195,387","138,405","233,086","394,260","489,771",$597 ,$98 ,"1,791,105","1,237,998","49,583","230,244","956,973","1,198","1,789,918",$533 ,$65 ,"154,496","228,974","268,584","321,663","419,816","484,553","35,889","854,719","1,059,256","1,735","65,243",988,"128,159","620,968","41,716","22,638","1,032,528","421,737","721,713","770,525","56,121","1,857,854","3,011","559,378","1,279,920","61,087","10,579","52,118","1,117,743","332,889","182,944","95,892","95,648","36,741","188,649","14,851","20,348","33,144","34,797","38,569","44,507","2,433",+,+,+,+,+,+,+,+,+,+,+
GA,HC.gov,"382,946","590,315","552,432","444,636","38,068","463,910","142,379","321,531","241,436","80,095","102,025","139,411","11,180","47,910","46,563","40,315","27,369","56,892","107,665","126,016",$566 ,$133 ,"407,267","301,815","22,443","69,817","209,197",358,"406,728",$495 ,$78 ,"38,341","55,413","70,950","79,025","100,071","113,721","6,389","202,474","261,436",508,"67,199",226,"77,105","161,135","7,243","7,536","142,958","34,994","333,843","95,073","66,104","397,806","3,025","97,653","335,180","26,596","1,456","28,929","229,379","86,810","43,855","30,384","28,960","15,593","60,360","4,530","6,281","11,722","11,708","12,511","12,972",636,+,+,+,+,+,+,+,+,+,+,+
HI,HC.gov,"19,506","26,996","23,026","17,416","4,235","20,073","4,784","15,289","9,848","5,441","2,954","6,894",605,"1,632","1,581","1,532","1,185","2,440","4,061","7,037",$632 ,$223 ,"15,781","7,006",545,"1,874","4,538",49,"15,725",$523 ,$138 ,"1,242","1,383","2,715","3,768","4,321","6,296",348,"8,548","11,525",36,"5,337",701,88,"6,259","2,825","2,495","2,332","1,045","17,371","1,657","6,914","13,159",242,"5,315","8,121","5,074","1,321","1,832","2,587","4,236","3,080","2,005","2,249","4,084","6,389",563,384,894,"1,181","1,342","1,927",98,+,+,+,+,+,+,+,+,+,+,+
IA,HC.gov,"51,329","72,950","63,547","51,727","10,089","54,586","12,615","41,971","27,154","14,817","9,267","17,887","1,177","4,694","4,408","4,201","2,975","6,401","12,253","18,477",$823 ,$111 ,"48,078","17,813","2,042","9,566","6,114",91,"48,051",$809 ,$34 ,"2,678","4,078","8,695","8,553","9,559","20,590",433,"25,047","29,539",97,"1,870",69,867,"39,570",477,592,"11,044","1,784","45,114","7,688","26,412","28,174",375,"12,574","19,644","21,993",+,"3,418","6,845","13,598","10,981","7,359","11,000","1,385","9,740",517,750,"2,030","1,826","1,707","2,825",85,+,+,+,+,+,+,+,+,+,+,+
ID,SBE,"132,269","201,985","168,593","133,095",NR,"78,431","18,924","59,507","21,586","37,921",NR,NR,"72,203",668,-585,-212,301,484,"1,876","3,696",NR,NR,"60,353","21,677",NR,NR,NR,NR,"59,897",NR,NR,"14,780","7,732","11,777","12,354","11,350","20,267",171,"36,117","41,754",773,883,50,512,"58,850",NR,0,"17,363",0,NR,"17,363",NR,NR,514,"45,861","25,990","6,066",+,NR,NR,NR,NR,NR,NR,NR,"10,612",3721,731,"1,852","1,883",1145,1204,76,+,+,+,+,+,+,+,+,+,+,+
IL,HC.gov,"268,884","391,478","342,107","268,246","53,986","292,945","63,989","228,956","146,699","82,257","47,697","99,002","5,316","19,659","20,585","19,539","16,008","33,974","69,189","108,675",$636 ,$224 ,"241,954","120,866","21,194","52,365","47,018",289,"241,324",$500 ,$153 ,"20,413","23,564","49,643","45,459","55,810","94,040","4,016","136,489","156,456",378,"31,371",108,"12,926","174,939","5,411","4,712","63,100","23,813","227,897","41,235","41,493","251,452","1,145","119,296","148,747","23,757",+,"27,606","51,245","73,801","49,073","30,722","46,367","14,131","65,136","5,121","4,914","13,262","11,162","12,075","17,801",801,+,+,+,+,+,+,+,+,+,+,+
IN,HC.gov,"122,038","188,822","166,653","111,701","24,453","140,931","29,425","111,506","73,905","37,601","32,380","41,525","2,664","10,121","10,093","9,800","7,196","16,527","34,668","49,862",$544 ,$270 ,"97,399","57,678","13,736","26,381","17,422",139,"96,839",$399 ,$160 ,"15,544","10,559","18,990","20,873","25,360","48,727",878,"64,560","76,371",164,"7,606",44,"4,582","94,035","1,331","1,828","31,341","4,593","115,250","21,088","35,344","105,587",+,"45,205","90,556","5,170",+,"31,402","18,928","31,202","20,298","16,425","17,067","5,609","14,533","1,660",962,"2,489","2,681","2,673","3,896",172,+,+,+,+,+,+,+,+,+,+,+
KS,HC.gov,"72,948","111,789","103,870","81,432","8,125","85,837","17,877","67,960","48,966","18,994","20,289","28,677","2,091","7,352","7,126","6,763","4,932","10,157","20,340","27,076",$638 ,$171 ,"73,579","34,423","3,004","9,461","21,117",841,"73,372",$547 ,$101 ,"8,649","8,409","14,215","13,867","14,182","25,818",697,"39,147","46,690",574,"4,788",46,"2,565","56,772","1,234","2,105","17,753","6,112","68,020","11,705","31,577","54,260",555,"25,303","38,189","21,790",+,"5,414","27,468","17,284","12,926","9,473","9,676","3,596","13,007",725,"1,169","2,926","2,621","2,270","3,204",92,+,+,+,+,+,+,+,+,+,+,+
KY,HC.gov,"81,304","121,391","102,100","76,313","20,488","83,139","20,623","62,516","42,125","20,391","16,762","25,363","1,951","7,822","6,710","6,159","4,340","10,177","19,018","26,962",$594 ,$185 ,"66,947","33,484","8,183","15,627","9,605",69,"66,763",$509 ,$108 ,"9,434","6,058","11,987","12,869","15,002","27,199",590,"37,144","45,995",112,"3,294",24,"2,775","59,953",609,"1,083","15,289","1,940","69,663","11,536","38,213","44,926",664,"35,686","41,915","4,874",+,"10,229","11,099","21,541","16,646","10,122","10,670","2,832","10,437",597,830,"2,065","1,961","1,892","2,983",109,+,+,+,+,+,+,+,+,+,+,+
LA,HC.gov,"85,364","123,382","104,735","84,112","20,037","87,748","19,630","68,118","45,485","22,633","13,464","32,021","1,862","8,121","7,017","6,267","4,649","10,058","19,277","30,497",$677 ,$190 ,"75,918","42,901","7,301","18,781","16,593",226,"75,724",$564 ,$124 ,"6,941","6,369","13,526","14,066","17,182","28,795",869,"37,837","49,911",329,"7,160",28,"10,892","45,036","1,184","1,364","21,755","3,457","67,178","17,113","14,328","73,420",+,"28,510","52,937","6,301",+,"5,329","18,779","24,342","14,314","11,641","10,831","2,512","15,150",330,"1,148","3,336","3,129","3,027","4,027",153,+,+,+,+,+,+,+,+,+,+,+
MA,SBE,"788,979","1,503,558","890,009","431,340","495,262","319,612","51,630","267,982","57,152","210,830",NR,NR,"4,394","13,133","13,190","189,690","77,637",834,"2,154","18,580",$398 ,$198 ,"247,702","211,340",NR,NR,NR,NR,"243,687",$263 ,$134 ,"14,873","34,175","69,820","62,936","63,284","71,404","3,120","143,674","175,938",176,"29,771",228,"20,694","141,577",NR,"9,973","108,711","8,482",NR,"108,711",NR,NR,887,"35,883","269,804","8,863","4,175",NR,"38,776","72,805","62,458","40,321","26,994","78,258","24,005","2,258","2,140","3,952","3,342","3,245","4,478","4,590",+,+,+,+,+,+,+,+,+,+,+
MD,SBE,"328,316","691,977","270,241","172,357","292,125","158,934","38,738","120,196","34,061","86,135",NR,NR,"129,290","2,994","2,804","2,715","1,915","5,125","9,575","4,516",$498 ,$178 ,"121,508","54,217",NR,NR,NR,NR,"121,287",$443 ,$92 ,"7,620","15,883","30,641","27,347","30,826","40,535","6,082","69,027","89,907",477,"21,057",405,"27,470","52,135",NR,0,"39,200","18,190",NR,"39,200",NR,NR,"3,426","34,549","63,459","55,544","1,956",NR,"17,447","35,600","23,247","14,439","18,056","50,145","8,405","1,549",947,"1,737","1,196","1,022",975,979,+,+,+,+,+,+,+,+,+,+,+
ME,HC.gov,"51,453","77,679","70,953","57,006","8,157","62,031","10,905","51,126","35,671","15,455","16,093","19,578",919,"4,192","4,251","4,077","3,174","7,483","16,719","21,216",$642 ,$176 ,"52,309","20,527","4,441","8,627","7,297",162,"52,234",$552 ,$107 ,"8,135","3,985","9,035","9,038","10,978","20,633",227,"28,618","33,413",162,"1,161",15,409,"49,671",346,816,"9,451",743,"53,991","7,297","34,391","27,640",682,"34,903","24,968","1,478",+,"5,305","9,236","13,426","12,582","9,212","10,286","1,984","10,895","1,683",634,"2,329","1,918","1,810","2,443",78,+,+,+,+,+,+,+,+,+,+,+
MI,HC.gov,"213,850","332,657","301,488","241,366","33,701","262,919","56,542","206,377","137,278","69,099","49,838","87,440","4,700","20,036","19,031","19,023","14,515","30,476","64,358","90,780",$480 ,$176 ,"218,697","99,067","21,213","41,051","35,781","1,022","217,904",$366 ,$129 ,"32,289","20,254","37,854","37,293","47,336","85,692","2,201","123,326","139,593",893,"11,784",85,"8,755","155,812","2,789","3,789","79,012","5,423","195,884","61,612","62,001","200,918","2,756","124,624","122,631","12,828",80,"22,307","42,622","60,374","54,036","35,166","39,003","9,411","58,041","7,549","4,257","11,884","10,375","10,063","13,393",520,+,+,+,+,+,+,+,+,+,+,+
MN,SBE,"202,421","321,711","258,713","115,838","58,417","110,042","25,822","84,220","15,651","68,569",NR,NR,"83,547","2,035",930,"1,899",924,"2,978","4,918","12,811",$444 ,$285 ,"59,710","10,555",NR,NR,NR,NR,"59,692",$292 ,$201 ,"12,822","7,796","15,053","15,088","17,677","41,113",493,"53,109","56,933",449,"2,196",24,"1,801","69,552",NR,1152,"34,868","1,483",NR,"34,868",NR,NR,"2,700","57,959","32,596","16,787",+,NR,*,*,"24,199","17,417","22,861","45,520","15,187","1,781","1,211","3,654","2,694","2,364","3,341",142,"83,200",+,+,"1,723","12,026","16,803","17,075","13,379","22,194","34,628","48,572"
MO,HC.gov,"176,401","257,322","238,664","186,966","18,986","202,750","48,639","154,111","107,380","46,731","34,070","73,310","4,704","17,930","16,168","16,352","11,288","24,720","47,634","63,954",$634 ,$158 ,"171,180","116,174","15,403","34,367","65,655",749,"170,785",$564 ,$85 ,"15,323","19,343","32,963","33,093","37,406","63,408","1,214","92,240","110,510",666,"9,280",97,"9,144","122,363","1,751","3,194","56,255","4,891","155,765","42,094","58,039","144,711",928,"56,778","140,993","4,051",+,"17,772","76,896","43,089","25,520","13,632","18,673","7,168","26,161","1,988","2,222","5,605","5,089","4,443","6,639",175,+,+,+,+,+,+,+,+,+,+,+
MS,HC.gov,"91,003","121,127","114,961","99,834","6,182","98,892","33,102","65,790","42,347","23,443","9,136","33,211","2,540","10,376","9,818","8,620","6,222","10,646","19,150","31,520",$608 ,$82 ,"93,092","81,452","7,249","16,689","57,439",75,"93,006",$559 ,$49 ,"4,287","13,065","14,782","17,222","20,840","27,907",789,"38,157","60,735",92,"4,586",23,"23,590","26,614",742,697,"42,548","1,402","65,402","32,088","58,754","40,138",+,"8,256","89,906",730,+,840,"62,046","18,371","8,903","3,786","3,041","1,905","8,476",643,973,"1,402","1,582","1,623","2,171",82,+,+,+,+,+,+,+,+,+,+,+
