ZIP,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
04032,555,413,$429 
04037,310,275,$504 
04038,631,496,$405 
04039,361,289,$454 
04040,152,130,$570 
04041,75,64,$572 
04042,188,149,$489 
04043,651,492,$457 
04046,542,429,$436 
04047,78,*,*
04048,110,95,$459 
04049,173,161,$440 
04050,32,*,*
04051,88,74,$565 
04054,*,*,*
04055,233,206,$509 
04056,22,*,*
04057,*,*,*
04061,109,97,$424 
04062,851,681,$450 
04063,20,*,*
04064,337,269,$523 
04066,40,28,$524 
04068,87,*,*
04069,102,67,$483 
04070,*,*,*
04071,249,193,$526 
04072,811,653,$429 
04073,526,457,$457 
04074,962,735,$434 
04076,124,109,$486 
04077,*,*,*
04078,18,*,*
04079,299,229,$536 
04083,107,91,$476 
04084,300,249,$455 
04085,70,*,*
04086,446,364,$451 
04087,96,78,$420 
04088,101,90,$522 
04090,603,507,$490 
04091,57,*,*
04092,699,587,$413 
04093,259,219,$521 
04094,*,*,*
04095,68,*,*
04096,494,376,$429 
04097,250,184,$440 
04098,*,*,*
04101,"1,147",822,$357 
04102,"1,115",846,$377 
04103,"1,653","1,294",$406 
04104,*,*,*
04105,641,410,$453 
04106,"1,395","1,081",$433 
04107,515,338,$445 
04108,77,55,$422 
04109,*,*,*
04110,67,35,$424 
04112,*,*,*
04116,*,*,*
04210,612,517,$520 
04211,*,*,*
04216,56,*,*
04217,303,261,$509 
04219,96,*,*
04220,146,*,*
04221,39,*,*
04222,201,165,$500 
04224,97,85,$646 
04226,*,*,*
04227,*,*,*
04231,18,*,*
04234,*,*,*
04236,156,139,$523 
04237,15,*,*
04238,53,*,*
04239,168,156,$558 
04240,723,618,$545 
04241,*,*,*
04250,118,*,*
04252,140,*,*
04253,56,*,*
04254,76,*,*
04255,64,52,$500 
04256,77,*,*
04257,75,*,*
04258,143,121,$552 
04259,108,92,$561 
04260,244,192,$491 
04261,66,*,*
04263,73,56,$569 
04265,51,*,*
04266,*,*,*
04267,*,*,*
04268,224,204,$573 
04270,293,260,$538 
04271,11,*,*
04274,202,173,$506 
04275,31,*,*
04276,188,*,*
04280,206,178,$555 
04281,202,*,*
04282,188,173,$579 
04284,35,*,*
04285,34,*,*
04286,*,*,*
04287,155,144,$497 
04288,*,*,*
04289,101,*,*
04290,58,*,*
04291,*,*,*
04292,38,*,*
04294,125,*,*
04330,695,614,$490 
04332,*,*,*
04333,*,*,*
04341,*,*,*
04342,114,95,$513 
04343,*,*,*
04344,116,101,$482 
04345,357,315,$502 
04346,50,39,$535 
04347,100,78,$490 
